state,R0,total_vaccines_per_day,death_rate0,death_rate1,death_rate2,death_rate3,death_rate4,death_rate5,population0,population1,population2,population3,population4,population5,initialS0,initialS1,initialS2,initialS3,initialS4,initialS5,initialE0,initialE1,initialE2,initialE3,initialE4,initialE5,initialI0,initialI1,initialI2,initialI3,initialI4,initialI5,initialR0,initialR1,initialR2,initialR3,initialR4,initialR5
AL,1.05737097,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,286597,612120,326671,1262280,1229288,1186229,267225.265,570745.435,304590.573,1176959.66,1146197.66,1106049.12,524.031622,1119.23794,597.305394,2308.03057,2247.70596,2168.97423,698.70883,1492.31726,796.407192,3077.37409,2996.94128,2891.96564,18148.9944,38763.0103,20686.7139,79934.9354,77845.6894,75118.9423
AK,0.92947201,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,50891,102429,46531,214707,180487,136500,47794.7457,96197.1273,43700.012,201644.033,169506.008,128195.217,59.7476558,120.25491,54.6288768,252.07286,211.89749,160.25535,79.6635411,160.33988,72.8385025,336.097147,282.529986,213.6738,2956.84311,5951.27789,2703.5206,12474.7974,10486.5643,7930.85388
AZ,1.15159413,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,427707,931925,483546,1950118,1739095,1746326,400385.951,872395.535,452658.069,1825548.45,1628005.16,1634774.26,666.857008,1453.00572,753.918076,3040.51571,2711.50037,2722.77454,889.142677,1937.34096,1005.2241,4054.02095,3615.33382,3630.36606,25765.0497,56139.1184,29128.7884,117475.017,104763.001,105198.597
AR,1.04361511,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,183327,394665,205446,775094,741463,717809,170752.881,367595.53,191354.772,721931.485,690607.184,668575.576,324.188592,697.910786,363.303002,1370.64716,1311.17536,1269.34652,432.251456,930.547715,484.404003,1827.52955,1748.23382,1692.46202,11817.6791,25441.0116,13243.5206,49964.338,47796.4066,46271.6154
CA,1.16049221,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,2377839,5010272,2547449,11439760,9970747,8166156,2258068.3,4757906.82,2419135.12,10863544.4,9468524.9,7754830.35,6050.36869,12748.5473,6481.9383,29108.2642,25370.3869,20778.6375,8067.15826,16998.063,8642.5844,38811.0189,33827.1826,27704.85,105653.169,222618.568,113189.353,508296.353,443024.533,362842.167
CO,1.04778878,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,327302,710624,365529,1720063,1435955,1199263,309288.758,671514.425,345411.914,1625398.4,1356926.44,1133260.91,364.495695,791.377349,407.066706,1915.52621,1599.13296,1335.54394,485.994261,1055.1698,542.755608,2554.03495,2132.17728,1780.72525,17162.7522,37263.0281,19167.2634,90195.0341,75297.2479,62885.8171
CT,1.05044508,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,180598,409660,238670,901006,949946,885407,172193.441,390595.494,227562.922,859075.535,905737.995,844202.471,158.910552,360.465214,210.008868,792.807013,835.869962,779.081248,211.880736,480.620286,280.011824,1057.07602,1114.49328,1038.775,8033.76783,18223.4207,10617.0576,40080.5824,42257.6419,39386.6725
DE,1.08042482,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,54261,114061,60766,241805,242438,260433,51357.5638,107957.743,57514.4896,228866.326,229465.455,246497.566,82.963508,174.395988,92.9094659,369.712889,370.680728,398.194565,110.618011,232.527984,123.879288,492.950518,494.24097,530.926087,2709.85469,5696.33319,3034.72162,12076.0106,12107.6234,13006.3137
DC,1.03621626,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,45263,67379,37751,275770,159579,120007,43522.2651,64787.7229,36299.1634,265164.374,153441.874,115391.743,34.6877103,51.6365074,28.930821,211.338839,122.294813,91.9684522,46.2502804,68.8486765,38.574428,281.785119,163.059751,122.624603,1659.79686,2470.79187,1384.33138,10112.502,5851.77127,4400.66371
FL,1.08208037,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,1131148,2381895,1213809,5375108,5455238,5920539,1066562.68,2245895.6,1144503.97,5068204.69,5143759.49,5582493.14,1303.9818,2745.83673,1399.27299,6196.39781,6288.77128,6825.16796,1738.6424,3661.11564,1865.69732,8261.86375,8385.02837,9100.22395,61542.6953,129592.448,66040.0562,292445.05,296804.707,322120.472
GA,1.10086164,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,639713,1436938,746150,2886409,2770891,2137322,604654.726,1358189.3,705258.645,2728224.76,2619037.5,2020190.07,856.411257,1923.69059,998.903039,3864.15965,3709.51074,2861.32472,1141.88168,2564.92079,1331.87072,5152.21286,4946.01432,3815.09963,33059.981,74260.0869,38560.5808,149167.872,143197.971,110455.508
HI,1.11849514,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,85335,167072,77697,386293,339309,360166,84092.6832,164639.746,76565.8781,380669.302,334369.3,354922.662,19.3725896,37.928368,17.6386253,87.6955029,77.0292845,81.764201,25.8301194,50.5711574,23.5181671,116.927337,102.705713,109.018935,1197.11411,2343.754,1089.96513,5419.0754,4759.96473,5052.55521
